Moketojo_ID	Moketojo_kodas	Moketojo_pavadinimas	Suma	Valiuta
714	0	E.Z.	155.56	LTL
728	0	G.T.	176.57	LTL
732	0	S.S.	211.84	LTL
736	0	J.K.	870.40	LTL
737	0	F.Z.	17.98	LTL
738	0	S.L.	14.00	LTL
751	0	S.T.	17.28	LTL
764	0	M.S.	15.29	LTL
780	0	J.O.	103.70	LTL
783	0	V.B.	55.30	LTL
793	0	S.G.	54.00	LTL
794	0	I.S.	8.64	LTL
799	0	S.M.	340.00	LTL
804	0	I.G.	20.16	LTL
806	0	I.Ž.	42.36	LTL
817	0	J.M.	145.07	LTL
818	0	H.Š.	323.20	LTL
819	0	T.L.	201.49	LTL
822	0	E.V.	74.60	LTL
823	0	B.M.	69.31	LTL
830	0	J.K.	474.28	LTL
833	0	S.Š.	348.82	LTL
835	0	K.B.	2.00	EUR
835	0	K.B.	152.21	LTL
837	0	I.B.	249.35	LTL
844	0	F.M.	348.73	LTL
849	0	S.Z.	136.21	LTL
850	0	R.P.	124.84	LTL
853	0	H.V.	1000.00	LTL
854	0	V.V.	303.65	LTL
855	0	H.P.	282.98	LTL
856	0	K.P.	58.00	LTL
859	0	T.B.	85.82	LTL
861	0	V.O.	1078.28	LTL
862	0	V.T.	9.57	LTL
866	0	V.D.	57.55	EUR
866	0	V.D.	794.88	LTL
869	0	H.F.	6.54	LTL
872	0	R.L.	198.72	LTL
899	0	G.M.	1064.88	LTL
901	0	A.B.	9.18	LTL
903	0	I.L.	10.55	LTL
907	0	N.P.	9.36	LTL
908	0	R.D.	993.60	LTL
909	0	B.B.	205.87	LTL
910	0	V.Ž.	1.19	LTL
912	0	V.P.	34.38	LTL
916	0	A.J.	603.12	LTL
922	0	R.S.	842.91	LTL
930	0	I.L.	122.31	LTL
954	0	T.L.	13.77	LTL
958	0	S.M.	1746.25	LTL
959	0	L.R.	1780.35	LTL
962	0	J.R.	9.26	LTL
972	0	V.C.	2.64	EUR
973	0	K.L.	1015.07	LTL
974	0	I.K.	999.05	LTL
999	0	R.T.	1233.00	LTL
1001	0	P.K.	7.85	LTL
1007	1001007	Sodininkų bendrija "MOZAIKA"	257.00	LTL
1008	1001008	Akcinė bendrovė "Lietuvos geležinkeliai"	301814.18	LTL
1010	1001010	Sodininkų bendrija "VOKĖ" (Grigiškės)	745.60	LTL
1011	1001011	Sodininkų bendrija "ŠILĖNAI"	514.40	LTL
1012	1001012	Sodininkų bendrija "RUGELIS 3"	1120.20	LTL
1014	1001014	Uždaroji akcinė bendrovė "MAKVEŽA"	23841.28	LTL
1015	1001015	UAB "ELMAVA"	13320.20	LTL
1016	1001016	Sodininkų bendrija "Šilėnai-1"	154.98	LTL
1017	1001017	Uždaroji akcinė bendrovė "PERPUS"	20486.12	LTL
1018	1001018	Uždaroji akcinė bendrovė "ACURA"	2087.82	LTL
1020	1001020	Sodininkų bendrija "RIDIKAS"	749.80	LTL
1025	1001025	UŽDAROJI AKCINĖ BENDROVĖ "VOMEDA"	54.70	EUR
1025	1001025	UŽDAROJI AKCINĖ BENDROVĖ "VOMEDA"	753.29	LTL
1030	0	P.Z.	719.43	LTL
1032	0	V.O.	1426.77	LTL
1036	0	S.L.	833.95	LTL
1037	0	S.P.	3814.83	LTL
1040	0	G.M.	2726.12	LTL
1043	0	L.M.	3.94	EUR
1043	0	L.M.	997.46	LTL
1044	0	V.D.	379.64	LTL
1051	0	J.M.	258.43	LTL
1054	1001054	Švietimo ir mokslo ministerijos Švietimo aprūpinimo centras	11281.52	LTL
1057	1001057	Akcinė prekybos bendrovė "APRANGA"	96343.81	LTL
1058	1001058	Uždaroji akcinė bendrovė "PRIEDANGA"	4315.47	LTL
1060	1001060	Uždaroji akcinė bendrovė "Unimodus"	33632.57	LTL
1063	1001063	Uždaroji akcinė bendrovė "Deholda"	242.09	LTL
1064	1001064	UŽDAROJI AKCINĖ BENDROVĖ "NAUJAMIESČIO BŪSTAS"	11118.69	LTL
1065	0	V.J.K.	427.97	LTL
1068	0	V.P.	170.28	LTL
1069	0	G.P.	341.50	LTL
1070	0	R.P.	140.72	LTL
1073	0	R.D.	44.81	LTL
1075	1001075	UAB "Būsto paskolų draudimas"	751.78	LTL
1079	0	J.P.	1237.51	LTL
1080	0	V.L.	500.00	LTL
1080	0	V.L.	100.00	EUR
1081	0	V.O.	656.54	LTL
1082	0	I.R.	490.24	LTL
1084	0	V.V.	418.20	LTL
1087	0	Z.V.P.	521.15	LTL
1088	0	H.J.	176.69	LTL
1093	0	I.P.	403.86	LTL
1094	0	M.V.	346.24	LTL
1095	0	V.V.	438.99	LTL
1096	1001096	Valstybės įmonė Lietuvos paštas	424726.87	LTL
1097	1001097	Uždaroji akcinė bendrovė "VILNIAUS VETERINARIJOS KLINIKINĖ LIGONINĖ"	773.70	LTL
1098	0	M.D.	411.76	LTL
1100	1001100	Uždaroji akcinė bendrovė "NAUJOSIOS VILNIOS VAISTINĖ"	92.03	LTL
1101	0	M.P.	580.96	LTL
1102	0	S.J.	217.98	LTL
1104	0	A.R.	2.00	LTL
1109	0	I.G.	580.05	LTL
1110	0	P.P.	598.75	LTL
1111	0	O.S.M.	907.60	LTL
1113	0	R.M.	362.34	LTL
1116	0	Z.S.	202.20	LTL
1118	0	T.M.	142.33	LTL
1119	0	D.V.	1774.68	LTL
1120	0	M.S.	675.70	LTL
1122	0	A.B.	1424.30	LTL
1124	0	V.R.	298.08	LTL
1130	0	O.M.	410.30	LTL
1134	0	G.A.	267.30	LTL
1135	1001135	Uždaroji akcinė bendrovė "MEDUONĖ"	519.36	LTL
1137	0	M.D.	499.90	LTL
1141	0	D.A.	795.48	LTL
1144	0	D.Ž.	21.51	LTL
1150	0	R.K.	75.47	LTL
1152	0	A.M.	225.95	LTL
1154	0	S.B.	56.21	LTL
1157	0	E.B.	245.96	LTL
1158	0	D.M.	335.50	LTL
1159	0	V.V.S.	183.04	LTL
1170	1001170	Uždaroji akcinė bendrovė "BALTKALIS"	933.25	LTL
1170	1001170	Uždaroji akcinė bendrovė "BALTKALIS"	377.98	EUR
1171	1001171	Danske Bank A/S Lietuvos filialas	15406.05	LTL
1180	1001180	Uždaroji akcinė bendrovė BNA GRUPĖ"	128845.24	LTL
1181	1001181	UAB "Verslo draugų investicija"	237.33	LTL
1185	1001185	Uždaroji akcinė bendrovė "RIVILĖ"	412.99	LTL
1185	1001185	Uždaroji akcinė bendrovė "RIVILĖ"	37.14	EUR
1186	1001186	UAB "E.L.L. NEKILNOJAMAS TURTAS"	9386.79	LTL
1187	1001187	UŽDAROJI AKCINĖ BENDROVĖ "LINTEL"	3659.41	LTL
1188	1001188	UAB "VILNIAUS VALDOS"	445.69	LTL
1194	0	R.B.	9.65	LTL
1196	0	A.R.	9.65	LTL
1198	0	E.P.	2.79	EUR
1199	0	A.D.	10.13	LTL
1205	0	M.U.	11.10	LTL
1208	0	V.J.	80.97	LTL
1209	0	J.E.Q.	40.51	LTL
1210	1001210	Akcinė bendrovė bankas "Snoras". Bankrotas 2011-12-09. Likvidavimas 2012-08-22	42899.44	LTL
1211	1001211	Uždaroji akcinė bendrovė "ANTTROBIS"	647.20	LTL
1213	1001213	Uždaroji akcinė benrovė "PALIPA"	517.76	LTL
1214	1001214	Uždaroji akcinė bendrovė "REKONA"	2698.59	LTL
1216	1001216	Uždaroji akcinė bendrovė "VILSANTA"	424.00	LTL
1217	0	G.P.	3349.38	LTL
1218	1001218	PK INVEST UAB	258594.28	LTL
1220	1001220	UAB "Sėnoja". Išieškojimas.	10299.94	LTL
1221	1001221	UAB "Aldmika"	246.74	LTL
1222	1001222	UAB "Ineturas"	62267.15	LTL
1223	0	J.V.	403.15	LTL
1224	0	A.Ž.	275.36	LTL
1225	0	O.B.	131.00	EUR
1225	0	O.B.	424.80	LTL
1226	0	J.B.J.	350.00	LTL
1229	0	A.K.	1765.79	LTL
1231	0	I.G.	155.41	LTL
1235	1001235	Uždaroji akcinė bendrovė "ELONIKA"	3568.32	LTL
1236	1001236	Uždaroji akcinė bendrovė "GALVANINĖ CHEMIJA"	2800.89	LTL
1239	1001239	Uždaroji akcinė bendrovė "RESPUBLIKOS" INVESTICIJA	42802.14	LTL
1241	1001241	288 - GARAŽŲ STATYBOS IR EKSPLOATAVIMO BENDRIJA	252.25	EUR
1241	1001241	288 - GARAŽŲ STATYBOS IR EKSPLOATAVIMO BENDRIJA	3483.92	LTL
1242	1001242	Garažo patalpų, esančių A. P. Kavoliuko g. 8a, Vilniuje, savininkų bendrija	1480.20	LTL
1243	0	M.T.	260.33	LTL
1247	1001247	UAB "Turo prekyba" (buvo "Vytaro servisas")	423.00	LTL
1248	1001248	Uždaroji akcinė bendrovė "KEVISTA"	3996.81	LTL
1249	0	D.B.B.	12.06	LTL
1257	1001257	588-oji garažų statybos ir eksploatavimo bendrija	1000.00	LTL
1259	1001259	Uždaroji akcinė bendrovė "GATVIŲ STATYBA"	100494.83	LTL
1260	1001260	Uždaroji akcinė bendrovė "MASYVAS"	457.32	LTL
1261	1001261	UAB "Vilnita". Bankrotas 2009-03-13 . Likvidavimas 2013-02-22. Išregistruota 2012-03-27.	4181.64	LTL
1263	1001263	UAB „TUKOMPA“	34652.18	LTL
1265	0	J.N.	23.94	LTL
1268	0	I.P.	918.18	LTL
1271	0	A.O.A.	187.64	LTL
1272	0	A.S.	501.68	LTL
1273	0	G.A.	246.00	LTL
1274	0	M.S.	6.05	LTL
1275	1001275	Uždaroji akcinė bendrovė "ELMA"	897.22	LTL
1279	1001279	Viešoji įstaiga "VILNIAUS UNIVERSITETINĖ ANTAKALNIO LIGONINĖ"	1748.00	LTL
1283	0	A.G.	18.44	LTL
1284	0	A.Č.	10.88	LTL
1286	1001286	343-oji garažų statybos ir eksploatavimo bendrija	303.48	LTL
1287	1001287	Uždaroji akcinė bendrovė " VIGYSTA    " Bankroto bylos          išreg   istruota 2012-04-23   iškėlimas teisme 2009.01.30	388.47	LTL
1288	1001288	Uždaroji akcinė bendrovė "KOMPASLA"	216.70	LTL
1289	1001289	Uždaroji akcinė bendrovė "FIANETA"	1846.96	LTL
1290	1001290	Uždaroji akcinė bendrovė "Swedbank lizingas"	95477.16	LTL
1291	1001291	Uždaroji akcinė bendrovė "EGRIKAS"	2862.80	LTL
1293	1001293	UAB "Minisistema"	627.34	LTL
1297	1001297	Uždaroji akcinė bendrovė "Plungės kooperatinė prekyba"	130.00	LTL
1302	1001302	UŽDAROJI AKCINĖ BENDROVĖ "ANTAKALNIO ŪKIS". Išieškojimas.	2051.23	LTL
1303	1001303	Vilniaus technologijų ir dizaino kolegija	1262.09	LTL
1306	1001306	TEO LT, AB	8451.75	LTL
1307	1001307	Uždaroji akcinė bendrovė "SARTONIC BŪSTO STATYBA"	424.45	LTL
1308	1001308	Uždaroji akcinė bendrovė "KOTRYNA"	4864.91	LTL
1317	0	R.T.	9.24	LTL
1318	0	J.D.	13.05	LTL
1321	0	M.Z.R.	29.36	LTL
1322	0	A.R.	12.51	LTL
1323	0	P.A.	11.42	LTL
1326	1001326	Sodininkų bendriją ''PUŠELĖ''	76.98	LTL
1327	1001327	580-oji garažų statybos ir eksploatavimo bendrija	1248.71	LTL
1335	1001335	426 - oji garažų statybos ir eksploatavimo bendrija	71.71	LTL
1347	0	T.V.	9.53	LTL
1353	1001353	Uždaroji akcinė bendrovė "Virkštis"	416.64	LTL
1354	1001354	Uždaroji akcinė bendrovė "TALINAS"	777.00	LTL
1355	1001355	 Synlab Lietuva, UAB (buvusi UAB „SORPO“)	1159.05	LTL
1356	1001356	500-oji garažų statybos ir eksploatavimo bendrovė	4423.20	LTL
1357	1001357	455-oji garažų statybos ir eksploatavimo bendrija	463.81	LTL
1358	1001358	MAXIMA LT, UAB	262277.66	LTL
1359	0	E.J.	1102.85	LTL
1360	1001360	Viešoji įstaiga "LAZDYNŲ POLIKLINIKA"	335.20	LTL
1360	1001360	Viešoji įstaiga "LAZDYNŲ POLIKLINIKA"	.43	EUR
1361	1001361	Uždaroji akcinė bendrovė "LAZDYNĖLIS"	141.00	EUR
1361	1001361	Uždaroji akcinė bendrovė "LAZDYNĖLIS"	1944.00	LTL
1362	1001362	Uždaroji akcinė bendrovė "Nemuno vaistinė"	977.99	LTL
1363	1001363	Garažų, esančių Architektų g. 48, Vilniuje, savininkų bendrija	788.23	LTL
1364	1001364	314 - oji garažų statybos ir eksploatavimo bendrija	3813.76	LTL
1365	1001365	Sodininkų bendrija "AUŠRA"	443.89	LTL
1367	0	L.V.	323.86	LTL
1368	0	V.P.	284.59	LTL
1373	0	J.L.	681.18	LTL
1377	0	S.B.	374.02	LTL
1378	0	L.G.	775.80	LTL
1379	1001379	Lietuvos ir Airijos uždaroji akcinė bendrovė "ABROMIKA"	3865.28	LTL
1380	1001380	Uždaroji akcinė bendrovė "VILNIAUS NARUTIS"	125380.31	LTL
1383	1001383	LINVEST SA.L. atstovybė	1621.00	LTL
1385	1001385	Uždaroji akcinė bendrovė "EUGENSA"	1181.67	LTL
1386	1001386	Uždaroji akcinė bendrovė "KADANTA"	2473.74	LTL
1394	0	J.P.	871.01	LTL
1399	0	V.V.	1289.69	LTL
1400	1001400	Vilniaus stačiatikių Šventosios Dvasios vienuolynas	177145.60	LTL
1403	1001403	Uždaroji akcinė bendrovė "DZŪKIJA"	19943.98	LTL
1404	1001404	Uždaroji akcinė bendrovė "TURTONA"	10936.96	LTL
1406	1001406	Lietuvos nacionalinė filharmonija	11472.02	LTL
1407	1001407	Lietuvos dailininkų sąjunga	111802.54	LTL
1409	0	L.K.	565.26	LTL
1410	0	J.K.	1001.64	LTL
1411	0	J.S.	198.80	LTL
1412	0	J.B.	997.56	LTL
1413	0	L.P.	107.70	LTL
1414	0	Z.P.	161.02	LTL
1415	0	A.Z.P.	134.37	LTL
1416	0	R.P.	108.52	LTL
1424	0	V.R.	1623.65	LTL
1425	0	M.S.	164.10	LTL
1427	1001427	Sodininkų bendrija "BABINIAI"	40.83	LTL
1428	1001428	Sodininkų bendrija "VERKIAI"	707.79	LTL
1429	1001429	Sodininkų bendrija "RYTAS - 1"	101.84	LTL
1430	1001430	Sodininkų bendrija "VARSA"	112.19	LTL
1431	1001431	Sodininkų bendrija „SPORTAS“	48.63	EUR
1431	1001431	Sodininkų bendrija „SPORTAS“	281.28	LTL
1435	0	E.K.M.	378.17	LTL
1438	1001438	Sodininkų bendrija "ŽALIEJI EŽERAI"	668.26	LTL
1442	0	S.P.	848.70	LTL
1443	0	I.B.	782.41	LTL
1444	0	J.A.	655.67	LTL
1445	0	M.B.	151.20	LTL
1447	1001447	631-oji garažų statybos ir eksploatavimo bendrija	1579.98	LTL
1449	1001449	1-oji sodininkų bendrija "Girios aidas"	342.06	LTL
1453	0	T.Ž.	414.53	LTL
1455	0	B.S.	2338.36	LTL
1456	1001456	Sodininkų bendrija "ŽALGIRIS-2"	1215.12	LTL
1457	0	N.S.	181.69	LTL
1458	0	G.S.	319.56	LTL
1459	0	J.C.	902.07	LTL
1460	0	L.Z.	260.56	LTL
1461	0	V.O.	423.72	LTL
1463	0	T.Z.P.	208.22	EUR
1463	0	T.Z.P.	1072.68	LTL
1464	0	K.L.	118.19	LTL
1468	0	B.S.	148.91	LTL
1471	0	A.Š.	1020.59	LTL
1477	0	G.B.	533.93	LTL
1480	1001480	Uždaroji akcinė bendrovė "LIUMEKSIS". Išieškojimas	12891.42	EUR
1481	1001481	Valstybės įmonė "Vilniaus pilių direkcija"	26956.34	LTL
1495	0	E.V.	169.04	LTL
1500	0	A.K.	32.38	LTL
1509	0	V.A.	131.64	LTL
1511	0	E.S.	419.17	LTL
1512	1001512	475-oji garažų statybos ir eksploatavimo bendrija	4049.09	LTL
1519	0	R.B.	414.90	LTL
1521	0	I.Č.	194.16	LTL
1522	0	A.K.	120.74	LTL
1525	1001525	Sodininkų bendrija "ŽUVĖDRA - 2"	270.00	LTL
1526	1001526	Sodininkų bendrija "UŽUGIRIS"	244.80	LTL
1528	1001528	Sodininkų bendrija "ŽIDINYS"	208.45	LTL
1543	1001543	UAB "VILZEVUS"	5659.11	LTL
1543	1001543	UAB "VILZEVUS"	541.74	EUR
1544	1001544	UAB "DIG BALTIEJI RŪMAI"	59434.36	LTL
1545	1001545	Uždaroji akcinė bendrovė "MILITEKSAS"	2515.81	LTL
1546	1001546	Uždaroji akcinė bendrovė "IGNIKA". Išieškojimas.	4801.03	LTL
1547	0	V.S.	392.48	LTL
1552	0	A.J.	101.34	LTL
1553	0	N.M.	506.70	LTL
1554	0	Ž.R.	767.28	LTL
1555	0	J.K.	608.12	LTL
1556	0	V.S.	343.49	LTL
1567	0	V.V.G.	1725.67	LTL
1569	1001569	618-oji garažų statybos ir eksploatavimo bendrija	5980.51	LTL
1570	1001570	Uždaroji akcinė bendrovė "ASTANA" (buv"Bruknelė")	321.32	LTL
1571	0	L.M.	182.70	LTL
1573	1001573	Uždaroji akcinė bendrovė "ŽEMĖS ŪKIO PASKOLŲ GARANTIJŲ FONDAS"	1512.20	LTL
1576	1001576	UAB "OGVY"	124996.90	LTL
1579	0	Č.M.	528.12	LTL
1580	0	S.D.	1279.45	LTL
1581	0	V.K.	254.88	LTL
1587	0	V.B.	1765.70	LTL
1589	0	M.D.	133.48	LTL
1592	0	D.K.	153.38	LTL
1593	1001593	Sodininkų bendrija "AVIETYNAS"	636.16	LTL
1594	1001594	Uždaroji akcinė bendrovė "AUTOEKSPRESAS"	260.00	EUR
1594	1001594	Uždaroji akcinė bendrovė "AUTOEKSPRESAS"	2508.12	LTL
1601	1001601	17-oji laikinų metalinių garažų statybos ir eksploatavimo bendrija	124.19	EUR
1601	1001601	17-oji laikinų metalinių garažų statybos ir eksploatavimo bendrija	1715.20	LTL
1604	1001604	18-oji laikinų metalinių garažų statybos ir eksploatavimo bendrija	320.76	LTL
1606	1001606	449-oji garažų statybos ir eksploatavimo bendrija	1779.54	LTL
1607	0	I.K.	488.79	LTL
1610	0	L.B.	224.91	LTL
1611	0	S.B.	187.74	LTL
1614	0	J.Š.	1199.47	LTL
1615	0	R.V.	981.62	LTL
1616	0	J.K.	194.61	LTL
1622	0	N.O.	560.38	LTL
1623	0	J.J.	1879.97	LTL
1628	0	O.G.	871.84	LTL
1629	0	Z.K.	2080.19	LTL
1639	1001639	Uždaroji akcinė bendrovė "Serfas"	94035.09	LTL
1640	1001640	UAB "BALTIC MASTER"	125017.43	LTL
1644	1001644	Uždaroji akcinė bendrovė "AZURELA"	434.29	LTL
1645	0	A.A.G.	291.84	LTL
1649	1001649	Uždaroji akcinė bendrovė "CESTA"	2771.52	LTL
1650	1001650	Uždaroji akcinė bendrovė "RASŲ VALDA"	25953.50	LTL
1651	1001651	Uždaroji akcinė bendrovė "AUTO TRADE"	11255.56	LTL
1652	1001652	Uždaroji akcinė bendrovė "SPECIALIZUOTOS PREKYBOS SISTEMOS"	3717.89	LTL
1653	1001653	UAB "FREOR LT"	48012.84	LTL
1659	1001659	Lietuvos stačiatikių Arkivyskupija	109341.12	LTL
1660	0	I.G.	511.12	LTL
1661	1001661	IĮ "Du broliai"	10953.16	LTL
1662	1001662	Uždaroji akcinė bendrovė "NORDIJA"	182814.00	LTL
1663	1001663	UAB "MARENTA"	1400.00	LTL
1664	1001664	UAB "Jūratės stiliaus idėjų grupė". Išieškojimas.	6639.84	LTL
1664	1001664	UAB "Jūratės stiliaus idėjų grupė". Išieškojimas.	280.16	EUR
1666	1001666	Uždaroji akcinė bendrovė "ABP GERMAN INVEST"	8918.56	LTL
1669	0	K.P.	12.09	LTL
1670	1001670	UAB "PAS LAUMĘ". Išieškojimas.	14869.37	LTL
1671	1001671	UAB "DIDŽIOJI RAMUNĖ"	27864.80	LTL
1672	1001672	Uždaroji akcinė bendrovė "AAA Astorija"	3291.06	EUR
1672	1001672	Uždaroji akcinė bendrovė "AAA Astorija"	90906.96	LTL
1673	0	E.H.	598.76	LTL
1675	1001675	PRO KAPITAL VILNIUS REAL ESTATE UAB	1305.92	LTL
1676	1001676	OPEN SOCIETY INSTITUTE MANAGEMENT SERVICES LTD	2208.33	EUR
1676	1001676	OPEN SOCIETY INSTITUTE MANAGEMENT SERVICES LTD	30744.30	LTL
1680	0	B.T.	4178.87	LTL
1683	1001683	UAB "MENO MŪZA" (iš IP93-1944)	1466.04	LTL
1683	1001683	UAB "MENO MŪZA" (iš IP93-1944)	279.19	EUR
