Sklypo_ID	Sklypo_kodas	Kadastro_vietoves_kodas	Kadastro_vietoves_bloko_numeris	Sklypo_nr_bloke	Anuliavimo_data	Pagal_pastata	Sklypo_adresas	Laikotarpis	Bazine_kaina	Plotas	Paskirties_kodas	Paskirtis	Charakteristikos_kodas	Charakteristika	Turto_grupes_kodas	Turto_grupe	Verciu_zona	Skaitiklis	Vardiklis	Neapmokestinamas_dydis	Moketojo_ID	Moketojo_kodas	Moketojo_pavadinimas	Naudojimo_pradzia	Naudojimo_pabaiga	Taikyti_VRV	VRV_visa	VRV_dalies	Dokumento_data	Dokumento_nr	Dokumento_tipas	Koregavimo_data
2786				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Kirtimų g."	2014 m.	64049,40	0,368100	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	2565	1002565	UAB "NTTI"	2007-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
3839				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Ozo g."	2014 m.	386,25	0,002000	401	Namų valdai			950	Gyvenamųjų teritorijų žemė		1	1	.002000	3500	0	A.R.	2005-06-13	NULL	0	NULL	NULL	2005-06-13	1-5519	Paveldėjimo teisės liudijimas	2014-09-09
5369				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Švitrigailos g. 26"	2014 m.	16017,77	0,054000	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		18	540	NULL	4875	1004875	UAB "VIČETA"	2002-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
5369				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Švitrigailos g. 26"	2014 m.	16017,77	0,054000	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		16	540	NULL	8002	1006877	Uždaroji akcinė bendrovė "KONEKTA"	2001-12-17	NULL	0	NULL	NULL	2001-12-17	1-10581	Pirkimo-pardavimo sut.	2014-09-09
2322				NULL	NULL	0	"Vilniaus m. sav., Vilnius, J. Basanavičiaus g. 23A"	2014 m.	305,00	0,002400	401	Namų valdai			950	Gyvenamųjų teritorijų žemė		1	1	.002400	2148	0	I.Š.	1995-11-08	NULL	0	NULL	NULL	1995-11-08			2014-09-09
1859				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Dvarčionių g. 4"	2014 m.	22233,13	0,139500	401	Namų valdai			950	Gyvenamųjų teritorijų žemė		1	1	NULL	1741	0	F.Č.	1998-05-21	2014-03-15	0	NULL	NULL	NULL			2015-04-10
1859				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Dvarčionių g. 4"	2014 m.	22233,13	0,139500	401	Namų valdai			950	Gyvenamųjų teritorijų žemė		1	2	NULL	17814	0	K.Č.	2014-03-16	NULL	1	185535.00	92767.50	NULL			2015-04-13
1859				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Dvarčionių g. 4"	2014 m.	22233,13	0,139500	401	Namų valdai			950	Gyvenamųjų teritorijų žemė		1	2	.069750	17815	0	J.Č.	2014-03-16	NULL	1	185535.00	92767.50	NULL			2015-04-13
2622				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Kalvarijų g. 9"	2014 m.	503,13	0,002200	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	2416	1002416	UAB "KALVARIJA"	2002-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
9727	10100430155	0101	0043	155	NULL	0	"Vilniaus m. sav., Vilnius, M. K. Paco g. 4"	2014 m.	2081010,00	2,210900	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.20	57	22109	NULL	13440	0	J.J.	2010-12-14	NULL	1	8331000.00	25945.00	2010-12-08	N49/2010-143	Valst. ž. skl. nuomos sutartis	2010-12-14
4071				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Pavilnio g."	2014 m.	2814,10	0,917300	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	3708	1003708	Sodininkų bendrija "TABAKAS"	2002-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
7613	10100080522	0101	0008	522	NULL	0	"Vilniaus m. sav., Vilnius, Ateities g. 33"	2014 m.	46894,00	0,178900	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.53	162	1789	NULL	10191	1008084	Uždaroji akcinė bendrovė "STIRENAS"	2006-05-26	2104-05-20	1	1078000.00	97617.00	2006-05-22	N01/2006-677	Valst. ž. skl. nuomos sutartis	2006-05-26
7613	10100080522	0101	0008	522	NULL	0	"Vilniaus m. sav., Vilnius, Ateities g. 33"	2014 m.	46894,00	0,178900	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.53	139	1789	NULL	10192	1008085	UAB "Dekorvila"	2006-05-26	2104-05-20	1	1078000.00	83757.00	2006-05-22	N01/2006-675	Valst. ž. skl. nuomos sutartis	2006-05-26
7613	10100080522	0101	0008	522	NULL	0	"Vilniaus m. sav., Vilnius, Ateities g. 33"	2014 m.	46894,00	0,178900	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.53	368	1789	NULL	10193	1008086	Uždaroji akcinė bendrovė "AUTOMOBILIS"	2006-05-26	2014-01-08	1	1078000.00	221746.00	2006-05-22	N01/2006-674	Valst. ž. skl. nuomos sutartis	2014-01-09
7613	10100080522	0101	0008	522	NULL	0	"Vilniaus m. sav., Vilnius, Ateities g. 33"	2014 m.	46894,00	0,178900	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.53	260	1789	NULL	10194	1008087	Uždaroji akcinė bendrovė "KOMPARSA"	2006-05-26	2014-06-29	1	1078000.00	79200.00	2006-05-22	N01/2006-676	Valst. ž. skl. nuomos sutartis	2015-06-29
7613	10100080522	0101	0008	522	NULL	0	"Vilniaus m. sav., Vilnius, Ateities g. 33"	2014 m.	46894,00	0,178900	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.53	368	1789	NULL	2049	1002049	UAB "EKOENERGIJA"	2014-01-09	NULL	1	414000.00	85160.00	2006-05-22	N01/2006-674	Valst. ž. skl. nuomos sutartis	2014-01-09
4173				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Polocko g. 20"	2014 m.	345,63	0,002000	401	Namų valdai			950	Gyvenamųjų teritorijų žemė		1	1	.002000	3792	0	V.J.	1995-07-19	NULL	0	NULL	NULL	1995-07-19			2014-09-09
5788				NULL	NULL	0	"Vilniaus m. sav., Vilnius, V. A. Graičiūno g. 32"	2014 m.	75660,05	0,352079	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	5262	1005262	Uždaroji akcinė bendrovė "Paradis"	2002-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
5789				NULL	NULL	0	"Vilniaus m. sav., Vilnius, V. A. Graičiūno g. 32"	2014 m.	7961,45	0,032200	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	5263	1005263	UAB "LIPNIOS ETIKETĖS"	2002-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
5790				NULL	NULL	0	"Vilniaus m. sav., Vilnius, V. A. Graičiūno g. 32"	2014 m.	203040,00	1,152000	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	5264	1005264	UŽDAROJI AKCINĖ BENDROVĖ "VILNIAUS LOGISTIKA"	2002-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
5791				NULL	NULL	0	"Vilniaus m. sav., Vilnius, V. A. Graičiūno g. 32"	2014 m.	15703,75	0,089100	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	5265	1005265	UAB "Vigifarma"	2003-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
5792				NULL	NULL	0	"Vilniaus m. sav., Vilnius, V. A. Graičiūno g. 32"	2014 m.	1690,19	0,007200	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	5266	1005266	Uždaroji akcinė bendrovė "ARKĖJA"	2002-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
7964	10100820125	0101	0082	125	2013-04-30	0	"Vilniaus m. sav., Vilnius, V. A. Graičiūno g. 32"	2014 m.	549512,25	3,117800	990	Kita (ne že. ir ne miškų ūkio)	474	Kita ne ž.ū.ir ne m.ū.ž.				5301	31178	NULL	5264	1005264	UŽDAROJI AKCINĖ BENDROVĖ "VILNIAUS LOGISTIKA"	2011-01-01	NULL	1	864308.74	146953.00	NULL			2015-02-17
3493				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Mickūnų g. 35"	2014 m.	9093,75	0,095100	401	Namų valdai			950	Gyvenamųjų teritorijų žemė		1	1	NULL	3193	0	G.P.	1995-07-02	NULL	0	NULL	NULL	1995-07-02			2014-09-09
11884	109402334016			NULL	NULL	1	"Vilniaus m. sav., Vilnius, Mickūnų g. 35"	2014 m.		0,007648	110	Gyvenamoji (1 buto past.)			950	Gyvenamųjų teritorijų žemė		1	1	NULL	3193	0	G.P.	2010-12-17	NULL	1	5600.00	5600.00	1980-04-09	1-1287	Paveldėjimo teisės liudijimas	2014-09-09
1619				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Bičių g. 4"	2014 m.	8763,13	0,063500	401	Namų valdai			950	Gyvenamųjų teritorijų žemė		1	1	.063500	1516	0	A.V.	1998-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
2999				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Laisvės pr. 60"	2014 m.	2062,50	0,005000	953	Kita (daugiaaukščių teritor.)	423	Komer. paskirties objektų žemė				1	1	NULL	2764	0	K.J.	2006-10-26	NULL	0	NULL	NULL	2006-10-26	7001	Pirkimo - pardavimo sutartis	2014-09-09
3000				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Laisvės pr. 60"	2014 m.	5145,63	0,025900	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	2765	1002765	UŽDAROJI AKCINĖ BENDROVĖ "PRIMADIS"	2004-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
3001				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Laisvės pr. 60"	2014 m.	170,90	0,000800	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	2766	1002766	Uždaroji akcinė bendrovė "Radijas kelyje"	2003-09-30	NULL	0	NULL	NULL	NULL			2014-09-09
3002				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Laisvės pr. 60"	2014 m.	376,20	0,001900	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	2767	1002767	Uždaroji akcinė bendrovė "Eigulių Topolis"	2003-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
3003				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Laisvės pr. 60"	2014 m.	4125,00	0,010000	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	2768	1002768	UAB VL Turto valdymas	2007-09-30	NULL	0	NULL	NULL	NULL			2014-09-09
3004				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Laisvės pr. 60"	2014 m.	807716,25	1,958100	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	2769	1002769	UAB "Sisteminio modernizavimo grupė" Išieškojimas.	2003-09-30	NULL	0	NULL	NULL	NULL			2014-09-09
9634				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Laisvės pr. 60"	2014 m.	30318,75	0,073500	101	Žemės ūkio paskirties ž.						1	1	NULL	13350	0	U.".	2010-01-01	NULL	0	NULL	NULL	NULL			2014-09-09
11639	109260006011			NULL	NULL	1	"Vilniaus m. sav., Vilnius, Liepkalnio g. 124"	2014 m.		0,012100	110	Gyvenamoji (1 buto past.)			950	Gyvenamųjų teritorijų žemė		1	2	NULL	14876	0	L.S.	2008-06-16	NULL	1	10800.00	5400.00	2008-06-13	6943	Paveld. t. pagal įst. liudijimas	2014-09-09
9972	440021477272	0101	0042	263	NULL	0	"Vilniaus m. sav., Vilnius, Užupio g. 6"	2014 m.	12606,19	0,061600	995	Kita (žemės)			950	Gyvenamųjų teritorijų žemė	57.7	151	616	NULL	13701	0	A.M.	2012-01-23	2076-12-27	1	353000.00	86531.00	2011-12-29	N49/2011-504	Valst. ž. skl. nuomos sutartis	2012-01-23
3910				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Paeglinės g. 8B"	2014 m.	1755,18	0,278600	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	3563	1003563	Sodininkų bendrija "RŪTA Nr 1"	2002-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
4621				NULL	NULL	0	"Vilniaus m. sav., Vilnius, S. Konarskio g. 35A"	2014 m.	222510,00	0,351100	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	4209	1004209	Uždaroji akcinė bendrovė "BITAS"	2002-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
4622				NULL	NULL	0	"Vilniaus m. sav., Vilnius, S. Konarskio g. 35A"	2014 m.	4141,69	0,018500	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	4209	1004209	Uždaroji akcinė bendrovė "BITAS"	2003-06-30	NULL	0	NULL	NULL	NULL			2014-09-09
8399	10100540162	0101	0054	162	NULL	0	"Vilniaus m. sav., Vilnius, S. Konarskio g. 35A"	2014 m.	222510,00	0,369600	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.14	3511	3696	NULL	4209	1004209	Uždaroji akcinė bendrovė "BITAS"	2000-05-04	2099-04-11	1	3984000.00	3784584.00	2000-04-13	233 N01/2000-22648	Valst. ž. skl. nuomos sutartis	2003-11-21
8399	10100540162	0101	0054	162	NULL	0	"Vilniaus m. sav., Vilnius, S. Konarskio g. 35A"	2014 m.	222510,00	0,369600	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.14	185	3696	NULL	4209	1004209	Uždaroji akcinė bendrovė "BITAS"	2003-09-10	2040-06-17	1	3984000.00	199416.00	2003-06-19	499 N01/2003-27299	Valst. ž. skl. nuomos sutartis	2003-11-21
3843				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Ozo g. 9A"	2014 m.	63478,75	0,320600	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	3503	1003503	399 - oji garažų statybos ir eksploatavimo bendrija	2002-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
9086	10100800172	0101	0080	172	NULL	0	"Vilniaus m. sav., Vilnius, Dariaus ir Girėno g. 20"	2014 m.	701084,00	2,648100	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.26	1	1	NULL	13512	0	U.".i.G.2.	2010-01-27	2096-07-29	1	4885000.00	4885406.00	1997-07-31	269 N01/97-13855	Valst. ž. skl. nuomos sutartis	2010-01-27
8878	440017695746	0101	0071	429	NULL	0	"Vilniaus m. sav., Vilnius, Panevėžio g. 29"	2014 m.	24533,89	0,177300	995	Kita (žemės)			950	Gyvenamųjų teritorijų žemė	57.10	1165	1773	NULL	8022	1006897	346-oji daugiabučio namo savininkų bendrija "KALNELIS"	2008-12-22	NULL	0	NULL	NULL	2008-12-15	N01/2008-263	Valst. ž. skl. nuomos sutartis	2008-12-22
7526	10100820107	0101	0082	107	NULL	0	"Vilniaus m. sav., Vilnius, Kirtimų g. 47B"	2014 m.	1432049,00	5,751200	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.29	1	1	NULL	10116	1008009	Uždaroji akcinė bendrovė "VILNIAUS BAKALĖJA"	1999-02-08	2097-12-30	0	NULL	NULL	1998-12-31	858 N01/99-20050	Valst. ž. skl. nuomos sutartis	2004-11-22
5729				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Užusienio g."	2014 m.	14775,00	0,100000	401	Namų valdai			950	Gyvenamųjų teritorijų žemė		1	1	.100000	5204	0	B.Š.	1995-11-04	NULL	0	NULL	NULL	1995-11-04			2014-09-09
8927	10100791548	0101	0079	1548	NULL	0	"Vilniaus m. sav., Vilnius, Geologų g. 12"	2014 m.	205654,00	0,742100	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.26	1	1	NULL	8069	1006944	Uždaroji akcinė bendrovė "FEGDA"	2001-06-25	2097-10-04	0	NULL	NULL	1999-03-30	N01/99-20653	Valst. ž. skl. nuomos sutartis	2004-05-20
3656				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Naugarduko g. 29A"	2014 m.	368,75	0,002900	401	Namų valdai			950	Gyvenamųjų teritorijų žemė		1	1	.002900	3336	0	L.M.	1995-12-15	NULL	0	NULL	NULL	1995-12-15			2014-09-09
3010				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Laisvės pr. 83A"	2014 m.	39940,00	0,202200	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė				1	1	NULL	2772	1002772	353 - oji garažų statybos ir eksploatavimo bendrija	2002-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
8528	10100740851	0101	0074	851	NULL	0	"Vilniaus m. sav., Vilnius, Džiaugsmo g. 45"	2014 m.	19542,00	0,100600	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.22	1	1	NULL	7765	1006640	Lietuvos samariečių bendrija	2000-09-15	2099-06-13	0	NULL	NULL	2000-06-15	N01/2000-23033	Nuomos sutartis	2010-02-11
7440	440012106050	0101	0057	182	NULL	0	"Vilniaus m. sav., Vilnius, Raugyklos g. 21"	2014 m.	54592,50	0,290000	995	Kita (žemės)			950	Gyvenamųjų teritorijų žemė	57.11	1	1	NULL	1886	1001886	Uždaroji akcinė bendrovė "SNORAS Development"buvęs pavadinmas - UAB "VILNIAUS KAPITALO VYSTYMO PROJEKTAI"). Išieškojimas.	2007-11-09	2099-05-22	0	NULL	NULL	2000-05-24	351 N01/2000-22926	Valst. ž. skl. nuomos sutartis	2007-11-09
8074	10100200051	0101	0020	51	NULL	0	"Vilniaus m. sav., Vilnius, Laisvės pr. 55"	2014 m.	476955,00	1,140700	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	972	Komercinės paskirties žemė	57.47	1033	11407	NULL	7284	1006159	UAB "VALPIRUS"	2006-09-07	2097-04-13	1	NULL	309669.00	1998-05-07	N01/98-15382	Valst. ž. skl. nuomos sutartis	2014-11-18
8074	10100200051	0101	0020	51	NULL	0	"Vilniaus m. sav., Vilnius, Laisvės pr. 55"	2014 m.	476955,00	1,140700	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	972	Komercinės paskirties žemė	57.47	8212	11407	NULL	5559	1005559	Akcinė bendrovė "OGMIOS CENTRAS"	2007-02-19	2097-04-13	0	NULL	NULL	2003-06-23	N01/2003-27143	Valst. ž. skl. nuomos sutartis	2007-02-19
8074	10100200051	0101	0020	51	NULL	0	"Vilniaus m. sav., Vilnius, Laisvės pr. 55"	2014 m.	476955,00	1,140700	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	972	Komercinės paskirties žemė	57.47	2100	11407	NULL	5559	1005559	Akcinė bendrovė "OGMIOS CENTRAS"	2008-04-03	2097-04-13	0	NULL	NULL	2001-09-07	327	Valst. ž. skl. nuomos sutartis	2008-04-03
7513	440011494614	0101	0024	386	NULL	0	"Vilniaus m. sav., Vilnius, Nemenčinės pl. 1C"	2014 m.	16660,88	0,077000	995	Kita (žemės)			972	Komercinės paskirties žemė	57.69	1	1	NULL	10131	1008024	Uždaroji akcinė bendrovė "SUPLA"	2009-10-19	2024-12-06	1	1022000.00	1022337.00	2007-07-17	N01/2007-870	Valst. ž. skl. nuomos sutartis	2009-10-19
3380				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Markučių g. 16"	2014 m.	8038,75	0,063800	401	Namų valdai			950	Gyvenamųjų teritorijų žemė		1	1	.063800	3088	0	G.K.	1995-12-09	NULL	0	NULL	NULL	NULL			2014-09-09
6792	10100310163	0101	0031	163	NULL	0	"Vilniaus m. sav., Vilnius, Saltoniškių g. 7"	2014 m.	1167757,50	2,147600	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.16	1	1	NULL	9668	1007561	UAB „XXT“	2008-04-09	2014-06-03	0	NULL	NULL	2001-12-14	491 N01/2001-25004	Valst. ž. skl. nuomos sutartis	2014-06-04
1897				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Džiaugsmo g. 77"	2014 m.	25641,25	0,132000	401	Namų valdai			950	Gyvenamųjų teritorijų žemė		1	1	.100000	1778	0	N.V.	1998-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
